German	English	Frequency
hoffentlich	i hope so	3090	
englisch	english	3078	
J	j	3077	
rauchen	to smoke	3075	
die Operation	the operation	3075	
SHIELD	shield	3074	
verliebt	in love	3067	
soweit	as far as	3064	
die Rede	the speech	3063	
beschäftigt	busy	3062	
Richard	richard	3061	
der Wald	the forest	3060	
nervös	nervous	3046	
verschwunden	missing	3044	
genießen	to enjoy	3044	
geheim	secret	3044	
die Kate	the cottage	3039	
gelassen	calm	3029	
by	by	3025	
verlangen	to require	3022	
House	house	3022	
lächeln	to smile	3021	
versteckt	hidden	3018	
der Hunger	the hunger	3017	
leisten	to do	3015	
die Kirche	the church	3014	
beten	to pray	3013	
genannt	stated	3012	
überprüfen	to check out	3009	
brennen	to burn	3003	
angefangen	started	2998	
der Hals	the neck	2997	
das Blau	the blue	2996	
küssen	to kiss	2995	
Major	major	2990	
das Messer	the knife	2988	
feiern	to celebrate	2988	
wählen	to select	2982	
das Weib	the wife	2981	
befinden	to are	2981	
die Tante	the aunt	2975	
die Schlampe	the bitch	2971	
das Gespräch	the conversation	2970	
die Achtung	the danger	2963	
gesund	healthy	2958	
geschlafen	slept	2957	
anderer	else	2955	
besorgt	concerned	2954	
gebrochen	broken	2952	
annehmen	to accept	2952	
die Adresse	the street address	2952	
Frag	ask	2950	
gucken	to watch	2949	
beenden	to break up	2948	
greifen	to grab	2946	
irgendwelche	any	2945	
dick	thick	2935	
Billy	billy	2934	
die Mission	the mission	2933	
das Vergnügen	the pleasure	2928	
Doc	doc	2926	
ran	ran	2924	
das Meer	the sea	2923	
letzter	last	2911	
das Maul	the mouth	2905	
das Lied	the song	2904	
herausfinden	find out	2903	
erschossen	shot	2897	
verhalten	to restrained	2895	
das Verbrechen	the crime	2895	
ernsthaft	seriously	2895	
die Neun	the nine	2893	
das Schwert	the sword	2891	
die Grenze	the limit	2889	
namens	called	2887	
indem	as	2880	
die Haut	the skin	2879	
der Flug	the flight	2874	
das Dorf	the village	2869	
miteinander	together	2867	
fantastisch	fantastic	2867	
packen	to pack	2860	
ähnlich	akin	2860	
die Meile	the mile	2857	
das Papier	the paper	2854	
die Katze	the cat	2848	
der Club	the club	2847	
entkommen	to escape	2842	
das Unternehmen	the undertake	2841	
der Bauer	the farmer	2839	
Sarah	sarah	2833	
lhrem	lhrem	2831	
fassen	to take	2830	
hauen	to hew	2829	
übrigens	by the way	2813	
nahe	near	2812	
das Weihnachten	the christmas	2811	
it	it	2809	
der Dienst	the service	2806	
vermisst	missing	2804	
die See	the lake	2802	
dasselbe	the same	2798	
vorne	up front	2796	
Jim	jim	2785	
Sergeant	sergeant	2783	
warm	warm	2780	
schmecken	to taste	2778	
Mary	mary	2778	
guck	peep	2777	
drücken	to push	2775	
der Tee	the tea	2774	
Kleine	little one	2774	
gegessen	eaten	2772	
die Wache	the guard	2770	
gesamt	total	2770	
die Schwierigkeit	the difficulty	2769	
die Blume	the flower	2768	
danken	to thank	2763	
wiII	wiii	2762	
vermutlich	presumably	2762	
die Einheit	the unit	2756	
worauf	whereupon	2755	
das Fleisch	the meat	2748	
die Hälfte	the half	2744	
der Respekt	the respect	2742	
lösen	to solve	2741	
trauen	to trust	2739	
Roger	roger	2737	
die Freude	the pleasure	2736	
die Zahl	the number	2731	
erster	first	2729	
der Gang	the aisle	2725	
is	is	2719	
ausgehen	to go out	2718	
der Jude	the jew	2716	
das Taxi	the cab	2712	
worüber	about what	2707	
die Brücke	the bridge	2703	
zuvor	before	2702	
rechts	on the right	2701	
statt	instead of	2689	
überlegen	to superior	2688	
herein	in	2687	
nämlich	namely	2680	
der Park	the park	2679	
Schuhe	shoes	2676	
die Flasche	the bottle	2673	
Charles	charles	2671	
Henry	henry	2665	
manch	some	2662	
erscheinen	to appear	2661	
der Fluß	the flow	2659	
die Lust	the pleasure	2654	
Jawohl	yup	2651	
wild	wild	2642	
schönen	beautiful	2642	
gebeten	asked	2640	
die Farbe	the color	2637	
Nick	nick	2631	
herkommen	to come here	2631	
lächerlich	ridiculous	2630	
die Energie	the energy	2629	
das Kleid	the dress	2626	
gespielt	played	2626	
die Ecke	the corner	2626	
der Amerikaner	the american	2626	
der Unterschied	the difference	2623	
betrunken	drunk	2621	
wachsen	to grow	2620	
hingehen	to go there	2620	
klug	wise	2618	
der Angriff	the attack	2618	
Ray	ray	2614	
das Eis	the ice cream	2611	
die Würde	the would	2610	
aufgeben	to give up	2606	
R	r	2601	
der Druck	the pressure	2599	
schneiden	to cut	2589	
übersetzen	to translate	2588	
der Star	the star	2581	
schätzen	to estimate	2580	
verfolgen	to pursue	2579	
schwanger	pregnant	2576	
Chuck	chuck	2576	
entschieden	decided	2574	
die Küche	the kitchen	2569	
der Grad	the degree	2569	
Handy	mobile phone	2564	
der Engel	the angel	2560	
Ehemann	husband	2559	
davor	before	2558	
behandeln	to treat	2555	
die Güte	the quality	2551	
leer	empty	2550	
unschuldig	innocent	2548	
schließlich	after all	2546	
verpasst	lost	2545	
die Gegend	the area	2545	
der Ex	the ex	2544	
schwach	weak	2543	
die Erfahrung	the experience	2540	
das Monster	the monster	2539	
der Deal	the deal	2534	
überrascht	surprised	2531	
Monsieur	monsieur	2530	
Lm	lm	2529	
nachts	night	2527	
h	b	2526	
frisch	fresh	2526	
Hmm	hmm	2523	
geschlagen	beaten	2522	
AIIe	aii	2520	
London	london	2518	
klappen	to fold	2517	
der Bus	the bus	2515	
Lieutenant	lieutenant	2514	
beeilen	to hurry	2514	
die Brust	the breast	2512	
geändert	changed	2511	
zählen	to count	2508	
wiederholen	to repeat	2508	
Abendessen	dinner	2506	
entlang	along	2499	
ermordet	murdered	2498	
die Übersetzung	the translation	2496	
Big	big	2495	
der Auftrag	the order	2495	
unterhalten	to entertain	2491	
der Berg	the mountain	2490	
dienen	to serve	2489	
William	william	2487	
der Verstand	the mind	2487	
der Wind	the wind	2486	
das Angebot	the offer	2483	
zufrieden	satisfied	2480	
Claire	claire	2480	
allerdings	though	2478	
wundervoll	wonderful	2477	
schöner	beautiful	2474	
der Lord	the lord	2474	
das Fass	the barrel	2468	
der Zahn	the tooth	2465	
der Kunde	the customer	2462	
der Erfolg	the success	2462	
schnappen	to grab	2459	
fällen	to make	2457	
Anna	ann	2456	
die Rose	the rose	2453	
der Lehrer	the teacher	2452	
hinaus	out	2450	
neuer	new	2448	
der Kuss	the kiss	2446	
for	for	2443	
der Schwanz	the tail	2439	
geholfen	helped	2438	
gewartet	waiting	2436	
fremd	foreign	2435	
Süße	sweetness	2433	
das Schätzchen	the baby	2432	
Jerry	jerry	2432	
Eric	eric	2431	
huh	huh	2428	
der Haufen	the heap	2428	
Carter	carter	2426	
nem	nem	2416	
das Dach	the roof	2415	
angreifen	to attack	2415	
das Restaurant	the restaurant	2411	
Sorry	sorry	2407	
Maria	mary	2405	
die Aufnahme	the recording	2405	
stoppen	to stop	2404	
verrücken	to shift	2402	
der Mut	the courage	2401	
Hintern	butt	2399	
der Anzug	the suit	2399	
das Signal	the signal	2392	
fertigen	to manufacture	2392	
der Prinz	the prince	2391	
deren	their	2387	
bewegt	moved	2383	
riesig	huge	2379	
die Pistole	the gun	2378	
kochen	to cook	2377	
San	san	2376	
regen	to rain	2375	
com	com	2375	
der Strand	the beach	2374	
starten	to start	2370	
fair	fair	2370	
gelten	to apply to	2369	
die Neuigkeit	the news	2368	
Detective	detective	2368	
high	high	2364	
das Interesse	the interest	2362	
schwimmen	to swim	2361	
das Mädel	the girl	2360	
größte	greatest	2359	
das Grün	the green	2356	
der Vertrag	the contract	2355	
eurer	yours	2350	
das Benehmen	the behavior	2350	
der Sitz	the seat	2349	
zweite	second	2346	
der Richter	the judge	2345	
die Tatsache	the fact	2343	
lauten	to read	2339	
der Willen	the will	2338	
van	van	2338	
dessen	its	2338	
das Programm	the program	2334	
das Datum	the date	2334	
scharf	sharp	2331	
Glückwunsch	congratulation	2330	
Walter	walter	2325	
der Scherz	the hoax	2323	
die Gabe	the gift	2323	
die Zigarette	the cigarette	2321	
fein	fine	2319	
Dan	dan	2314	
komplett	complete	2312	
das Gewehr	the gun	2312	
landen	to land	2311	
Bobby	bobby	2310	
England	england	2309	
verhaftet	arrested	2308	
verdammter	reprobate	2308	
merkwürdig	strange	2308	
Mami	mommy	2308	
zufällig	random	2306	
steig	steig	2305	
Robert	robert	2304	
vollkommen	completely	2301	
letztes	last	2300	
der Ted	the ted	2297	
Rom	rom	2297	
Martin	martin	2297	
normalerweise	normally	2296	
die Pause	the break	2291	
Neues	new	2291	
fern	remote	2285	
der Kauf	the purchase	2284	
blind	blind	2284	
die Au	the au	2283	
die Königin	the queen	2281	
gefahren	driven	2281	
interessieren	to interest	2280	
wieviel	how much	2279	
gehts	go	2276	
welcher	which one	2273	
gewußt	known	2273	
Jake	jake	2269	
US-amerikanischen	american	2268	
erlauben	to allow	2266	
Whoa	whoa	2261	
verletzen	to violate	2259	
der Unsinn	the nonsense	2258	
richten	to judge	2257	
besitzen	to have	2257	
langen	to long	2253	
beobachten	to watch	2252	
ner	ner	2251	
die Verantwortung	the responsibility	2249	
beschissen	shitty	2244	
mitgebracht	brought	2242	
Eddie	eddie	2242	
das Frühstück	the breakfast	2241	
Red	red	2240	
lebend	alive	2239	
teuer	expensive	2238	
das Mitglied	the member	2238	
feuern	to fire	2237	
Tommy	tommy	2235	
der Sommer	the summer	2232	
erwachsen	to grown up	2231	
aufstehen	to stand up	2231	
die Irre	the lunatic	2228	
das Fressen	the eat	2228	
der Koffer	the case	2227	
gebaut	built	2225	
Andy	andy	2224	
das Thema	the topic	2223	
daher	hence	2223	
worum	about what	2220	
reiten	to horse riding	2217	
geschlossen	closed	2217	
das Fett	the fat	2216	
das Bad	the bathroom	2215	
der Riese	the giant	2214	
die Hose	the pants	2214	
versteh	understand	2213	
angetan	done	2210	
abholen	to pick up	2208	
das Video	the video	2204	
gestellt	posed	2200	
herzlich	cordially	2199	
drüber	over it	2198	
geraten	to get	2195	
einverstanden	agreed	2194	
Adam	adam	2193	
der Kurs	the course	2188	
unterschreiben	to sign	2186	
privat	private	2186	
aufwachen	to wake up	2177	
schwul	gay	2176	
die Rechte	the rights	2176	
rauf	up	2176	
langweilig	boring	2176	
der Held	the hero	2175	
einsam	lonely	2173	
die Krankheit	the disease	2172	
vorwärts	forward	2169	
Arme	poor	2169	
nachgedacht	thought	2167	
angehen	to tackle	2166	
Zeitpunkt	time	2164	
der Tanz	the dance	2162	
Washington	washington	2158	
der Kapitän	the captain	2154	
zwingen	to force	2153	
Arthur	arthur	2150	
der Nachmittag	the afternoon	2147	
Beeil	hurry	2146	
das Pfund	the lb	2145	
mitten	in the middle	2144	
fliehen	to flee	2142	
Danny	danny	2142	
der Senator	the senator	2141	
die Gelegenheit	the opportunity	2136	
studieren	to study	2135	
die City	the city	2131	
Pete	pete	2130	
der Knast	the slammer	2129	
begreifen	to understand	2129	
der Zustand	the state	2127	
kontrollieren	to control	2127	
daraus	from that	2127	
akzeptieren	to accept	2127	
kehren	to sweep	2124	
die Station	the station	2122	
warnen	to warn	2118	
zurückkehren	to return	2117	
Nr	no	2117	
zuhören	to listen	2116	
Z	z	2116	
College	college	2112	
nackt	naked	2110	
Quatsch	nonsense	2109	
Lee	lee	2105	
mitkommen	come along	2103	
verändern	to change	2095	
heben	to lift	2091	
der Bastard	the bastard	2091	
Wochenende	weekend	2090	
die Prinzessin	the princess	2090	
französisch	french	2090	
die Fähigkeit	the ability	2089	
spinnen	to spin	2083	
das Radio	the radio	2080	
klingeln	to ring	2080	
reissen	to tear	2079	
das Projekt	the project	2079	
kennenlernen	to get to know	2078	
der Schauspieler	the actor	2077	
erklärt	declared	2072	
Nee	nope	2070	
das Risiko	the risk	2068	
mies	lousy	2067	
erinnert	reminds	2063	
dankbar	grateful	2061	
erstes	first	2060	
die Reihe	the series	2058	
heilig	holy	2056	
on	on	2048	
das Fräulein	the ms.	2048	
die Kiste	the box	2047	
die Zelle	the cell	2046	
erreicht	achieved	2046	
dorthin	there	2046	
der Rock	the rock	2044	
schenken	to give	2043	
außerhalb	outside	2043	
gemeint	meant	2038	
der Schatten	the shadow	2031	
ankommen	to arrive	2031	
gezeigt	shown	2030	
größer	greater	2028	
aufnehmen	to take up	2027	
no	no	2026	
AIso	aiso	2026	
Date	date	2025	
soviel	so much	2020	
die Natur	the nature	2020	
Brian	brian	2017	
konzentrieren	to focus	2014	
geb	give	2011	
russisch	russian	2010	
das My	the my	2005	
das Schloss	the castle	2001	
geplant	planned	2001	
sammeln	to collect	2000	
Mistkerl	dirty swine	1998	
der Song	the song	1997	
der Stock	the stock	1994	
berühmt	famous	1993	
die Akte	the file	1993	
riskieren	to risk	1991	
die Karriere	the career	1990	
gefeuert	fired	1990	
der Wahnsinn	the madness	1989	
bemerkt	notices	1988	
verbracht	spent	1985	
das Gebiet	the area	1983	
die Falle	the trap	1982	
schweigen	to remain silent	1980	
das Lager	the stock	1980	
der Dreck	the dirt	1976	
Wichser	wanker	1975	
der Dieb	the thief	1975	
Code	code	1975	
der Stuhl	the chair	1973	
irgend	some	1973	
auftauchen	to pop up	1973	
weitermachen	to continue	1972	
die Lösung	the solution	1972	
hinein	in	1971	
der Bart	the beard	1970	
der Flughafen	the airport	1968	
dritt	third	1967	
umgehen	to bypass	1966	
die Rechnung	the account	1966	
der Zufall	the accident	1965	
senden	to send	1964	
verpassen	to miss	1963	
der Killer	the killer	1963	
Mm	mm	1962	
Chief	chief	1962	
leise	quietly	1957	
stöhnen	to moan	1955	
fur	for	1955	
die Gewalt	the violence	1951	
nächstes	next	1950	
St	st	1944	
der Großvater	the grandfather	1944	
entfernen	to remove	1942	
der Umstand	the circumstance	1941	
tauchen	to dive	1939	
geschossen	shot	1939	
ergeben	to yield	1937	
Kyle	kyle	1935	
gehalten	held	1935	
erkannt	recognized	1935	
das Labor	the laboratory	1932	
das Jahrhundert	the century	1931	
Madame	madame	1928	
Jungen	boys	1927	
streiten	to argue	1926	
lebendig	alive	1924	
trennen	to separate	1922	
prima	great	1922	
die Pflicht	the duty	1921	
Chris	chris	1920	
behandelt	treated	1920	
der Sieg	the victory	1918	
der Einsatz	the use	1918	
gelaufen	run	1916	
der Fan	the fan	1913	
welches	which	1912	
die Erklärung	the explanation	1912	
der Wille	the will	1910	
weich	soft	1910	
klopfen	to tap out	1908	
die Fahrt	the ride	1908	
der Schüler	the student	1907	
die Absicht	the intention	1907	
der Kuchen	the cake	1906	
eingeladen	invited	1906	
das Wesen	the nature	1903	
einigen	to some	1902	
das Feld	the field	1900	
irgendjemand	anyone	1899	
F	f	1899	
der Roboter	the robot	1897	
eh	eh	1897	
wahnsinnig	insane	1895	
Idioten	idiots	1892	
der Krebs	the cancer	1890	
mindestens	at least	1888	
verfolgt	followed	1887	
besonder	customised	1887	
der Ton	the sound	1886	
die Truppe	the force	1884	
die Million	the million	1884	
Doug	doug	1884	
der Streit	the dispute	1882	
schlechter	worse	1882	
freundlich	friendly	1882	
wechseln	to change	1880	
dringend	urgently	1880	
VieIIeicht	vieiieicht	1879	
das Grab	the grave	1879	
die Ratte	the rat	1878	
verhaften	to arrest	1877	
schlau	smart	1876	
untersuchen	to investigate	1875	
nirgendwo	nowhere	1874	
träumen	to dream	1868	
vorhin	just now	1863	
der Offizier	the officer	1863	
die Untersuchung	the check up	1861	
umsonst	for nothing	1860	
übergeben	to transfer	1860	
gelogen	lied	1859	
die Mitte	the center	1858	
gebrauchen	to use	1858	
dadurch	thereby	1856	
zweimal	twice	1854	
Chloe	chloe	1854	
verfluchen	to curse	1851	
entlassen	to lay off	1850	
anhalten	to stop	1850	
überlassen	to leave	1849	
anziehen	to attract	1849	
seitdem	since then	1848	
die Größe	the size	1846	
Buffy	buffy	1845	
bestätigen	to confirm	1845	
der Kollege	the colleague	1843	
der Termin	the appointment	1842	
die Form	the form	1842	
der Urlaub	the holiday	1836	
die Luke	the hatch	1836	
einzeln	individually	1835	
der Stopp	the stop	1834	
der Affe	the monkey	1834	
der Zweifel	the doubt	1832	
vieI	iot	1832	
weshalb	why	1831	
der Pilot	the pilot	1831	
das Hemd	the shirt	1831	
begleiten	to accompany	1831	
der Akt	the act	1831	
selten	rarely	1829	
voraus	ahead	1827	
Trottel	moron	1827	
verhindern	to prevent	1826	
offiziell	officially	1826	
getrunken	drunk	1826	
Thomas	thomas	1825	
hässlich	ugly	1824	
erlaubt	allowed	1823	
die Aufmerksamkeit	the attention	1822	
der Fahrer	the driver	1821	
die Toilette	the toilet	1818	
brav	good	1818	
such	search	1817	
Howard	howard	1817	
waschen	to wash	1815	
medizinisch	medical	1815	
das Negativ	the negative	1814	
der Direktor	the director	1813	
die Braut	the bride	1812	
selben	same	1811	
das Kino	the cinema	1809	
planen	to plan	1807	
womit	with which	1806	
stammen	to come	1806	
vertraut	familiar	1805	
entdeckt	discovered	1805	
das Theater	the theater	1804	
öffentlich	public	1804	
Bye	bye	1803	
beantworten	to answer	1803	
der Stop	the stop	1800	
der Keller	the basement	1797	
probieren	to try	1794	
der Nerv	the nerve	1792	
die Theorie	the theory	1790	
erwischen	to catch	1788	
das Medikament	the drug	1785	
Dean	dean	1783	
der Mond	the moon	1781	
der Terrorist	the terrorist	1780	
die Schlange	the snake	1779	
reparieren	to repair	1778	
die Leitung	the line	1778	
die Abteilung	the department	1778	
der Knochen	the bone	1776	
begraben	to bury	1776	
zusehen	to watch	1774	
die Vorstellung	the idea	1772	
die Schande	the shame	1771	
mächtig	powerful	1771	
die Post	the post office	1768	
überzeugen	to convince	1767	
Gentlemen	gentlemen	1761	
das Ergebnis	the result	1761	
liefern	to provide	1758	
das Geräusch	the noise	1757	
die Figur	the figure	1757	
der Westen	the west	1756	
die Großmutter	the grandmother	1756	
Ryan	ryan	1755	
das Knie	the knee	1752	
Commander	commander	1752	
die USA	the usa	1751	
dreh	twist	1751	
befreien	to free	1751	
Alexander	alexander	1749	
absehen	to foresee	1749	
zulassen	to permit	1745	
der Schild	the sign	1745	
peinlich	embarrassing	1745	
woran	by which	1744	
irgendeine	any	1743	
erwähnen	to mention	1743	
abhauen	to chop off	1743	
Steve	steve	1741	
Fick	fuck	1741	
betreffen	to concern	1741	
aufmachen	to open	1740	
Jackson	jackson	1738	
die Runde	the round	1737	
erwähnt	mentioned	1737	
ertragen	to bear	1737	
innerhalb	within	1735	
geblieben	remained	1735	
die Story	the story	1733	
Aha	aha	1732	
der Alarm	the alarm	1731	
stinken	to stink	1730	
der Garten	the garden	1730	
durcheinander	confused	1730	
die Panik	the panic	1727	
soII	soii	1726	
die Milch	the milk	1725	
der Bürgermeister	the mayor	1720	
woIIen	woiien	1714	
das TV	the tv	1713	
der Russe	the russian	1713	
Penny	penny	1711	
die Lüge	the lie	1711	
das Extra	the extra	1710	
der Schutz	the protection	1707	
nehm	participating	1707	
die Kuh	the cow	1701	
We	we	1699	
Ed	ed	1699	
verboten	prohibited	1698	
jährig	year	1698	
die Rache	the revenge	1697	
schalen	to cups	1696	
das Drehbuch	the screenplay	1695	
jen	jen	1694	
bewußt	aware	1693	
die Oma	the grandma	1689	
der Freitag	the friday	1689	
schmutzig	dirty	1686	
Clark	clark	1685	
verteidigen	to defend	1683	
Scott	scott	1681	
längst	for a long time	1679	
verlangt	required	1678	
das Leck	the leak	1675	
die Kunst	the art	1673	
die Explosion	the explosion	1672	
CTU	ctu	1670	
vorbereitet	prepared	1667	
der Priester	the priest	1667	
das Detail	the detail	1667	
die Aussage	the statement	1667	
gezogen	drawn	1666	
knapp	almost	1665	
angegriffen	attacked	1664	
trink	drinking	1663	
Alan	alan	1660	
der Virus	the virus	1659	
golden	golden	1656	
einfacher	easier	1656	
besprechen	to discuss	1656	
eng	closely	1654	
die Anweisung	the instruction	1646	
der Sklave	the slave	1643	
GOA	goa	1643	
berühren	to touch	1641	
wenden	to turn	1640	
getrennt	separated	1638	
die SG	the sg	1636	
die Bahn	the train	1635	
das Talent	the talent	1634	
satt	fed up	1634	
die Sünde	the sin	1632	
die Angelegenheit	the matter	1631	
tausende	thousands	1630	
leiten	to conduct	1629	
der Bereich	the area	1629	
Morgan	morgan	1628	
bestes	best	1628	
weiterhin	furthermore	1627	
die Heilige	the saint	1626	
beinahe	almost	1625	
der Norden	the north	1624	
zählt	counts	1623	
verbinden	to connect	1623	
morgens	in the morning	1623	
ebenso	as well	1622	
woanders	elsewhere	1621	
verursacht	caused	1621	
Frankreich	france	1621	
Jonathan	jonathan	1620	
die Deckung	the cover	1620	
raten	to advise	1619	
MS	ms	1619	
das Unrecht	the wrong	1618	
erschaffen	to create	1616	
Wayne	wayne	1615	
verarschen	to fuck about	1615	
die Linie	the line	1615	
das Kommando	the command	1614	
verschieden	different	1613	
empfangen	to receive	1613	
der Zugang	the access	1612	
die Medizin	the medicine	1612	
der Graben	the dig	1612	
extrem	extreme	1612	
der Sonntag	the sunday	1610	
das Gerät	the device	1609	
die Maus	the mouse	1608	
Lisa	lisa	1603	
kapieren	to savvy	1603	
der Hinweis	the reference	1603	
verbrennen	to burn	1602	
geglaubt	believed	1600	
P	p	1599	
einander	each other	1598	
geheiratet	married	1597	
der Alkohol	the alcohol	1595	
Kerle	guys	1594	
der Vorschlag	the proposal	1593	
die Schulter	the shoulder	1592	
Hure	whore	1591	
verschwenden	to waste	1590	
der Selbstmord	the suicide	1590	
Liebes	love	1588	
das Drama	the drama	1588	
der Narr	the fool	1587	
Matt	mat	1585	
gebraucht	second hand	1585	
das Genie	the genius	1583	
gemein	common	1583	
der Blödsinn	the nonsense	1583	
Louis	louis	1582	
das Gerücht	the rumor	1582	
dennoch	nevertheless	1582	
Jones	jones	1581	
entspannen	to relax	1581	
Besonderes	special	1581	
vernichten	to destroy	1578	
der Trick	the trick	1578	
Sara	sara	1577	
Wilson	wilson	1575	
nieder	down	1574	
Miami	miami	1573	
schämen	to ashamed	1572	
kenn	identify	1570	
die Erlaubnis	the permission	1569	
beendet	completed	1569	
gegenseitig	mutually	1568	
ausmachen	to make	1568	
die Zunge	the tongue	1567	
bewahren	to preserve	1567	
irgendein	any	1566	
vermuten	to suspect	1564	
uld	uld	1564	
Nachbarn	neighbors	1564	
weißen	white	1561	
der Besitz	the possession	1561	
der Fernseher	the tv set	1560	
link	left	1559	
festhalten	to hold	1558	
desto	more	1558	
Emily	emily	1557	
wachen	to watch	1556	
die Schönheit	the beauty	1556	
der Motor	the motor	1556	
anfassen	to touch	1556	
or	or	1555	
die Bedeutung	the importance	1555	
möglicherweise	possibly	1554	
ruhen	to rest	1553	
Mister	digg	1552	
das Gift	the poison	1552	
erleben	to experience	1552	
beleidigen	to offend	1548	
Officer	officer	1547	
Kleider	clothes	1547	
trotz	in spite of	1546	
verwirrt	confused	1542	
Rachel	rachel	1542	
ungewöhnlich	unusual	1541	
der Verkauf	the sale	1540	
Chicago	chicago	1538	
der Strom	the current	1534	
President	president	1534	
verbunden	connected	1533	
die Treppe	the stairs	1533	
die Null	the zero	1533	
Victor	victor	1532	
Subtitles	subtitles	1532	
Street	street	1531	
der Bauch	the stomach	1531	
der Gewinn	the profit	1529	
jedoch	however	1528	
überlebt	survived	1527	
der Sturm	the storm	1527	
vernünftig	reasonable	1526	
hungrig	hungry	1525	
erfolgreich	successfully	1524	
weglaufen	to run away	1522	
angenehm	pleasant	1520	
Angeles	angeles	1520	
überzeugt	convinced	1517	
empfinden	to feel	1517	
behaupten	to assert	1517	
erstaunlich	amazing	1516	
die Botschaft	the message	1516	
gewöhnlich	usually	1513	
gesetzt	set	1513	
klauen	to steal	1511	
das Brot	the bread	1511	
Europa	europe	1510	
der Süden	the south	1509	
fordern	to demand	1509	
Lily	lily	1508	
â	â	1508	
chinesisch	chinese	1507	
beweg	movable	1506	
der Beruf	the profession	1506	
Chase	chase	1505	
üblich	usual	1504	
die Probe	the sample	1504	
Karen	karen	1502	
beobachtet	observed	1502	
der Stich	the stitch	1499	
Jeff	jeff	1498	
irren	to be wrong	1497	
unterstützen	to support	1495	
mitgenommen	taken	1495	
die Menschheit	the humanity	1495	
achten	to respect	1495	
schieben	to push	1494	
Lügner	liar	1494	
das Gras	the grass	1494	
das Ereignis	the event	1494	
der Führer	the leader	1493	
spannend	exciting	1492	
deutlich	clearly	1491	
der Scheck	the check	1490	
der Mantel	the coat	1490	
angestellt	employed	1490	
das Gas	the gas	1488	
Dave	dave	1488	
anschauen	to look at	1488	
that	did	1485	
eifersüchtig	jealous	1481	
ums	killed	1479	
die Presse	the press	1478	
Mexiko	mexico	1478	
rEAL	real	1477	
das Gen	the gene	1477	
aufgehört	stopped	1476	
der Samstag	the saturday	1475	
geklaut	stolen	1475	
definitiv	definitely	1475	
Susan	susan	1473	
nachher	afterwards	1473	
Helden	heroes	1472	
süsser	sweet	1470	
Madam	madam	1470	
Phil	phil	1469	
der Vampir	the vampire	1468	
auseinander	apart	1468	
wichtiger	important	1467	
taub	deaf	1466	
praktisch	practically	1466	
die Bühne	the stage	1465	
Carl	carl	1464	
up	up	1463	
Ios	ios	1463	
herauszufinden	out	1463	
das Publikum	the audience	1462	
die Gnade	the grace	1462	
aufgenommen	recorded	1458	
illegal	illegal	1457	
die Freundschaft	the friendship	1457	
aufgeregt	excited	1453	
die Lippe	the lip	1452	
zugeben	to admit	1450	
die Unterstützung	the support	1450	
schief	escrow	1450	
Kevin	kevin	1450	
ª	ª	1449	
verwenden	to use	1448	
turteln	to bill and coo	1446	
die Flucht	the escape	1445	
der Winter	the winter	1442	
Marty	marty	1442	
die Schnauze	the snout	1441	
Notfall	emergency	1441	
Crew	crew	1440	
sparen	to save	1439	
wahren	to preserve	1437	
existiert	exists	1435	
der Stoff	the material	1434	
Schade	what a shame	1434	
locker	loose	1434	
der King	the king	1434	
der Prozess	the process	1433	
der Sack	the bag	1430	
der Spion	the spy	1429	
der Krieger	the warrior	1428	
die Rakete	the rocket	1427	
Josh	josh	1427	
dreckig	dirty	1427	
Universum	universe	1426	
entdecken	to discover	1426	
weisen	to show	1424	
nähern	to draw closer	1424	
entführt	kidnapped	1422	
vorbeikommen	to come by	1421	
Jane	jane	1420	
ebenfalls	the same to you	1418	
der Alte	the old man	1417	
gehofft	hoped	1415	
ausziehen	to take off	1415	
anstatt	instead of	1415	
politisch	politically	1413	
School	school	1412	
ergibt	results	1412	
Simon	simon	1411	
die Behandlung	the treatment	1411	
testen	to test	1410	
reinkommen	come in	1410	
zurückbringen	to return	1409	
die Pizza	the pizza	1409	
Nenn	rated	1409	
Kim	kim	1409	
echter	real	1409	
der Diamant	the diamond	1409	
der Chip	the chip	1409	
die Bravo	the bravo	1409	
das Steuer	the tax	1407	
spanisch	spanish	1407	
losen	to loose	1407	
der Knopf	the button	1407	
blasen	to blow	1407	
betreten	to enter	1404	
stärker	more	1403	
das Positiv	the positive	1403	
die Serie	the series	1402	
tausend	thousand	1401	
der Ober	the top	1401	
heilen	to heal	1401	
vorbereiten	to prepare	1398	
der Feigling	the coward	1398	
die Sendung	the mission	1396	
bestellen	to order	1396	
kompliziert	complicated	1393	
herausgefunden	found	1393	
der Osten	the east	1392	
antun	do to	1392	
zuletzt	last	1391	
der Wissenschaftler	the scientist	1390	
überprüft	checked	1390	
Teal	teal	1390	
das Vergehen	the pass	1388	
das Kid	the kid	1388	
gerufen	called	1388	
die Lunge	the lung	1387	
OP	operating room	1386	
der Koch	the cook	1386	
der Ritter	the knight	1385	
die Kleidung	the clothing	1383	
jederzeit	any time	1382	
wecken	to arouse	1380	
die Strafe	the punishment	1380	
der Geschmack	the taste	1380	
selbstverständlich	of course	1379	
erheben	to raise	1379	
ficken	fuck	1375	
entwickeln	to develop	1375	
vereinigen	to unite	1374	
Vincent	vincent	1373	
die Geduld	the patience	1373	
der Kaiser	the kaiser	1372	
die Jacke	the jacket	1369	
gewählt	chosen	1368	
Hank	hank	1367	
